date,title
2023-07-01,Euclid mission launch by SpaceX Falcon 9
2023-07-03,Full Moon - Buck Moon
2023-07-04,Launch of Syracuse B and Heinrich Hertz communications satellites
2023-07-07,USSF 52 mission launch by SpaceX Falcon Heavy
2023-07-14,NASA's Starling mission launch by Rocket Lab Electron
2023-07-17,New Moon
2023-07-21,Crew Test Flight to the International Space Station
2023-08-01,Full Moon - Sturgeon Moon
2023-08-01,Northrop Grumman’s 19th commercial resupply services mission to the ISS
2023-08-11,Perseid meteor shower peak
2023-08-16,New Moon
2023-08-17,SpaceX Falcon 9 launch for the program's 12th crewed flight
2023-08-30,Full Moon - Blue Moon
2023-09-14,New Moon
2023-09-29,Full Moon - Harvest Moon
2023-10-05,NASA's Psyche asteroid mission launch by SpaceX Falcon Heavy
2023-10-14,New Moon
2023-10-28,Full Moon - Hunter's Moon
2023-11-13,New Moon
2023-11-27,Full Moon - Beaver Moon
2023-12-12,New Moon
2023-12-26,Full Moon - Cold Moon
